"date","AAPL","MSFT","AMZN"
2022-01-03,182.009994506836,334.75,170.404495239258
2022-01-04,179.699996948242,329.010009765625,167.522003173828
2022-01-05,174.919998168945,316.380004882812,164.356994628906
2022-01-06,172,313.880004882812,163.253997802734
2022-01-07,172.169998168945,314.040008544922,162.554000854492
2022-01-10,172.190002441406,314.269989013672,161.485992431641
2022-01-11,175.080001831055,314.980010986328,165.361999511719
2022-01-12,175.529998779297,318.269989013672,165.207000732422
2022-01-13,172.190002441406,304.799987792969,161.214004516602
2022-01-14,173.070007324219,310.200012207031,162.138000488281
2022-01-18,169.800003051758,302.649993896484,158.917495727539
2022-01-19,166.229995727539,303.329986572266,156.29899597168
2022-01-20,164.509994506836,301.600006103516,151.667495727539
2022-01-21,162.410003662109,296.029998779297,142.643005371094
2022-01-24,161.619995117188,296.369995117188,144.544006347656
2022-01-25,159.779998779297,288.489990234375,139.985992431641
2022-01-26,159.690002441406,296.709991455078,138.872497558594
2022-01-27,159.220001220703,299.839996337891,139.637496948242
2022-01-28,170.330001831055,308.260009765625,143.977996826172
2022-01-31,174.779998779297,310.980010986328,149.573501586914
2022-02-01,174.610000610352,308.760009765625,151.193496704102
2022-02-02,175.839996337891,313.459991455078,150.612503051758
2022-02-03,172.899993896484,301.25,138.845504760742
2022-02-04,172.389999389648,305.940002441406,157.639495849609
2022-02-07,171.660003662109,300.950012207031,157.935501098633
2022-02-08,174.830001831055,304.559997558594,161.413497924805
2022-02-09,176.279998779297,311.209991455078,161.189498901367
2022-02-10,172.119995117188,302.380004882812,159.003494262695
2022-02-11,168.639999389648,295.040008544922,153.293502807617
2022-02-14,168.880004882812,295,155.167007446289
2022-02-15,172.789993286133,300.470001220703,156.510498046875
2022-02-16,172.550003051758,299.5,158.100494384766
2022-02-17,168.880004882812,290.730010986328,154.652496337891
2022-02-18,167.300003051758,287.929992675781,152.601501464844
2022-02-22,164.320007324219,287.720001220703,150.197494506836
2022-02-23,160.070007324219,280.269989013672,144.826995849609
2022-02-24,162.740005493164,294.589996337891,151.358001708984
2022-02-25,164.850006103516,297.309997558594,153.788497924805
2022-02-28,165.119995117188,298.790008544922,153.563003540039
2022-03-01,163.199996948242,294.950012207031,151.141998291016
2022-03-02,166.559997558594,300.190002441406,152.052505493164
2022-03-03,166.229995727539,295.920013427734,147.898498535156
2022-03-04,163.169998168945,289.859985351562,145.641006469727
2022-03-07,159.300003051758,278.910003662109,137.453002929688
2022-03-08,157.440002441406,275.850006103516,136.014495849609
2022-03-09,162.949996948242,288.5,139.279006958008
2022-03-10,158.520004272461,285.589996337891,146.817504882812
2022-03-11,154.729995727539,280.070007324219,145.524505615234
2022-03-14,150.619995117188,276.440002441406,141.852996826172
2022-03-15,155.089996337891,287.149993896484,147.366500854492
2022-03-16,159.589996337891,294.390014648438,153.10400390625
2022-03-17,160.619995117188,295.220001220703,157.238998413086
2022-03-18,163.979995727539,300.429992675781,161.250503540039
2022-03-21,165.380004882812,299.160003662109,161.491500854492
2022-03-22,168.820007324219,304.059997558594,164.889007568359
2022-03-23,170.210006713867,299.489990234375,163.408004760742
2022-03-24,174.070007324219,304.100006103516,163.649505615234
2022-03-25,174.720001220703,303.679992675781,164.773498535156
2022-03-28,175.600006103516,310.700012207031,168.990493774414
2022-03-29,178.960006713867,315.410003662109,169.315002441406
2022-03-30,177.770004272461,313.859985351562,166.300994873047
2022-03-31,174.610000610352,308.309997558594,162.997497558594
2022-04-01,174.309997558594,309.420013427734,163.559997558594
2022-04-04,178.440002441406,314.970001220703,168.346496582031
2022-04-05,175.059997558594,310.880004882812,164.054992675781
2022-04-06,171.830001831055,299.5,158.755996704102
2022-04-07,172.139999389648,301.369995117188,157.78450012207
2022-04-08,170.089996337891,296.970001220703,154.460494995117
2022-04-11,165.75,285.260009765625,151.121994018555
2022-04-12,167.660003662109,282.059997558594,150.787506103516
2022-04-13,170.399993896484,287.619995117188,155.541000366211
2022-04-14,165.289993286133,279.829986572266,151.706497192383
2022-04-18,165.070007324219,280.519989013672,152.785003662109
2022-04-19,167.399993896484,285.299987792969,158.115493774414
2022-04-20,167.229995727539,286.359985351562,153.998001098633
2022-04-21,166.419998168945,280.809997558594,148.296005249023
2022-04-22,161.789993286133,274.029998779297,144.350006103516
2022-04-25,162.880004882812,280.720001220703,146.074005126953
2022-04-26,156.800003051758,270.220001220703,139.391006469727
2022-04-27,156.570007324219,283.220001220703,138.167007446289
2022-04-28,163.639999389648,289.630004882812,144.596496582031
2022-04-29,157.649993896484,277.519989013672,124.28150177002
2022-05-02,157.960006713867,284.470001220703,124.5
2022-05-03,159.479995727539,281.779998779297,124.25350189209
2022-05-04,166.020004272461,289.980010986328,125.928497314453
2022-05-05,156.770004272461,277.350006103516,116.406997680664
2022-05-06,157.279998779297,274.730010986328,114.772499084473
2022-05-09,152.059997558594,264.579986572266,108.789001464844
2022-05-10,154.509994506836,269.5,108.859001159668
2022-05-11,146.5,260.549987792969,105.372001647949
2022-05-12,142.559997558594,255.350006103516,106.93049621582
2022-05-13,147.110000610352,261.119995117188,113.055000305176
2022-05-16,145.539993286133,261.5,110.810501098633
2022-05-17,149.240005493164,266.820007324219,115.368499755859
2022-05-18,140.820007324219,254.080001831055,107.112503051758
2022-05-19,137.350006103516,253.139999389648,107.319000244141
2022-05-20,137.589996337891,252.559997558594,107.591003417969
2022-05-23,143.110000610352,260.649993896484,107.556999206543
2022-05-24,140.360000610352,259.619995117188,104.099998474121
2022-05-25,140.520004272461,262.519989013672,106.775001525879
2022-05-26,143.779998779297,265.899993896484,111.077499389648
2022-05-27,149.639999389648,273.239990234375,115.146499633789
2022-05-31,148.839996337891,271.869995117188,120.209503173828
2022-06-01,148.710006713867,272.420013427734,121.68399810791
2022-06-02,151.210006713867,274.579986572266,125.511001586914
2022-06-03,145.380004882812,270.019989013672,122.349998474121
2022-06-06,146.139999389648,268.75,124.790000915527
2022-06-07,148.710006713867,272.5,123
2022-06-08,147.960006713867,270.410003662109,121.180000305176
2022-06-09,142.639999389648,264.790008544922,116.150001525879
2022-06-10,137.130004882812,252.990005493164,109.650001525879
2022-06-13,131.880004882812,242.259994506836,103.669998168945
2022-06-14,132.759994506836,244.490005493164,102.309997558594
2022-06-15,135.429992675781,251.759994506836,107.669998168945
2022-06-16,130.059997558594,244.970001220703,103.660003662109
2022-06-17,131.559997558594,247.649993896484,106.220001220703
2022-06-21,135.869995117188,253.740005493164,108.680000305176
2022-06-22,135.350006103516,253.130004882812,108.949996948242
2022-06-23,138.270004272461,258.859985351562,112.440002441406
2022-06-24,141.660003662109,267.700012207031,116.459999084473
2022-06-27,141.660003662109,264.890014648438,113.220001220703
2022-06-28,137.440002441406,256.480010986328,107.400001525879
2022-06-29,139.229995727539,260.260009765625,108.919998168945
2022-06-30,136.720001220703,256.829986572266,106.209999084473
2022-07-01,138.929992675781,259.579986572266,109.559997558594
2022-07-05,141.559997558594,262.850006103516,113.5
2022-07-06,142.919998168945,266.209991455078,114.330001831055
